step,time_s,x_robot,y_robot,angulo_grados,action
381,12.192,-0.1165,-0.0608,-15.89,AVANZAR
382,12.224,-0.1141,-0.0615,-15.89,AVANZAR
383,12.256,-0.1117,-0.0622,-16.03,GIRANDO
384,12.288,-0.1116,-0.0622,-15.89,AVANZAR
385,12.32,-0.1091,-0.0629,-15.89,AVANZAR
386,12.352,-0.1067,-0.0636,-15.75,AVANZAR
387,12.384,-0.1043,-0.0643,-15.89,AVANZAR
388,12.416,-0.1018,-0.065,-15.89,AVANZAR
389,12.448,-0.0993,-0.0657,-15.89,AVANZAR
390,12.48,-0.0969,-0.0664,-15.89,AVANZAR
391,12.512,-0.0944,-0.0671,-15.89,AVANZAR
392,12.544,-0.0919,-0.0678,-15.89,AVANZAR
393,12.576,-0.0895,-0.0685,-15.75,AVANZAR
394,12.608,-0.0871,-0.0692,-15.89,AVANZAR
395,12.64,-0.0846,-0.0699,-15.89,GIRANDO
396,12.672,-0.0845,-0.0699,-15.75,AVANZAR
397,12.704,-0.0821,-0.0706,-15.75,AVANZAR
398,12.736,-0.0796,-0.0713,-15.89,GIRANDO
399,12.768,-0.0796,-0.0713,-15.6,AVANZAR
400,12.8,-0.0772,-0.072,-15.6,AVANZAR
401,12.832,-0.0747,-0.0727,-15.6,AVANZAR
402,12.864,-0.0723,-0.0733,-15.75,AVANZAR
403,12.896,-0.0698,-0.074,-15.75,AVANZAR
404,12.928,-0.0674,-0.0747,-15.6,AVANZAR
405,12.96,-0.0649,-0.0754,-15.6,AVANZAR
406,12.992,-0.0624,-0.0761,-15.6,AVANZAR
407,13.024,-0.0599,-0.0768,-15.6,AVANZAR
408,13.056,-0.0575,-0.0775,-15.6,AVANZAR
409,13.088,-0.055,-0.0782,-15.75,GIRANDO
410,13.12,-0.055,-0.0782,-15.46,AVANZAR
411,13.152,-0.0526,-0.0788,-15.46,AVANZAR
412,13.184,-0.0501,-0.0795,-15.46,AVANZAR
413,13.216,-0.0477,-0.0802,-15.6,AVANZAR
414,13.248,-0.0452,-0.0809,-15.6,AVANZAR
415,13.28,-0.0427,-0.0816,-15.6,AVANZAR
416,13.312,-0.0402,-0.0823,-15.6,AVANZAR
417,13.344,-0.0378,-0.083,-15.46,AVANZAR
418,13.376,-0.0353,-0.0836,-15.46,AVANZAR
419,13.408,-0.0328,-0.0843,-15.46,AVANZAR
420,13.44,-0.0304,-0.085,-15.6,GIRANDO
421,13.472,-0.0303,-0.085,-15.46,AVANZAR
422,13.504,-0.0279,-0.0857,-15.32,AVANZAR
423,13.536,-0.0254,-0.0864,-15.32,AVANZAR
424,13.568,-0.023,-0.087,-15.46,AVANZAR
425,13.6,-0.0205,-0.0877,-15.46,AVANZAR
426,13.632,-0.0181,-0.0884,-15.46,AVANZAR
427,13.664,-0.0156,-0.0891,-15.46,AVANZAR
428,13.696,-0.0131,-0.0898,-15.46,GIRANDO
429,13.728,-0.0132,-0.0898,-15.32,AVANZAR
430,13.76,-0.0107,-0.0904,-15.32,AVANZAR
431,13.792,-0.0082,-0.0911,-15.32,AVANZAR
432,13.824,-0.0057,-0.0918,-15.32,AVANZAR
433,13.856,-0.0032,-0.0925,-15.32,AVANZAR
434,13.888,-0.0007,-0.0932,-15.32,AVANZAR
435,13.92,0.0016,-0.0938,-15.32,AVANZAR
436,13.952,0.0041,-0.0945,-15.32,GIRANDO
437,13.984,0.0042,-0.0945,-15.18,AVANZAR
438,14.016,0.0066,-0.0952,-15.18,AVANZAR
439,14.048,0.0091,-0.0958,-15.32,GIRANDO
440,14.08,0.0091,-0.0958,-15.04,AVANZAR
441,14.112,0.0116,-0.0965,-15.04,AVANZAR
442,14.144,0.014,-0.0972,-15.04,AVANZAR
443,14.176,0.0165,-0.0978,-15.18,AVANZAR
444,14.208,0.0189,-0.0985,-15.18,GIRANDO
445,14.24,0.0189,-0.0985,-14.89,AVANZAR
446,14.272,0.0214,-0.0992,-14.89,AVANZAR
447,14.304,0.0239,-0.0998,-15.04,AVANZAR
448,14.336,0.0263,-0.1005,-15.04,AVANZAR
449,14.368,0.0288,-0.1011,-15.04,AVANZAR
450,14.4,0.0313,-0.1018,-15.04,AVANZAR
451,14.432,0.0337,-0.1025,-14.89,AVANZAR
452,14.464,0.0362,-0.1031,-14.89,AVANZAR
453,14.496,0.0387,-0.1038,-14.89,AVANZAR
454,14.528,0.0411,-0.1044,-15.04,GIRANDO
455,14.56,0.0412,-0.1045,-14.89,AVANZAR
456,14.592,0.0436,-0.1051,-14.75,AVANZAR
457,14.624,0.0461,-0.1058,-14.75,AVANZAR
458,14.656,0.0486,-0.1064,-14.89,GIRANDO
459,14.688,0.0486,-0.1064,-14.75,AVANZAR
460,14.72,0.0511,-0.1071,-14.75,AVANZAR
461,14.752,0.0535,-0.1077,-14.61,AVANZAR
462,14.784,0.056,-0.1083,-14.75,GIRANDO
463,14.816,0.056,-0.1084,-14.61,AVANZAR
464,14.848,0.0585,-0.109,-14.61,AVANZAR
465,14.88,0.061,-0.1097,-14.61,GIRANDO
466,14.912,0.061,-0.1097,-13.48,GIRANDO
467,14.944,0.0609,-0.1096,-12.48,GIRANDO
468,14.976,0.0609,-0.1096,-11.63,GIRANDO
469,15.008,0.0609,-0.1096,-10.78,GIRANDO
470,15.04,0.0609,-0.1096,-9.93,GIRANDO
471,15.072,0.061,-0.1096,-9.22,GIRANDO
472,15.104,0.0609,-0.1096,-8.51,GIRANDO
473,15.136,0.061,-0.1096,-8.09,GIRANDO
474,15.168,0.0609,-0.1096,-7.66,GIRANDO
475,15.2,0.0609,-0.1096,-7.09,GIRANDO
476,15.232,0.061,-0.1096,-6.67,GIRANDO
477,15.264,0.0609,-0.1096,-6.24,GIRANDO
